,Date,Forecast
2024-01-01,2024-01-01,78.9818813231662
2024-01-02,2024-01-02,79.59001581476652
2024-01-03,2024-01-03,80.21082617731864
2024-01-04,2024-01-04,79.63478936666971
2024-01-05,2024-01-05,78.54207182735203
2024-01-08,2024-01-08,79.20828668704088
2024-01-09,2024-01-09,78.98869563050103
2024-01-10,2024-01-10,78.98392586641151
2024-01-11,2024-01-11,80.18191090650414
2024-01-12,2024-01-12,79.3537583197276
2024-01-15,2024-01-15,77.9289074583375
2024-01-16,2024-01-16,77.30165285324615
2024-01-17,2024-01-17,79.25774840798331
2024-01-18,2024-01-18,79.98222166490189
2024-01-19,2024-01-19,80.49352932961658
2024-01-22,2024-01-22,79.26619050501466
2024-01-23,2024-01-23,78.57280844020734
2024-01-24,2024-01-24,78.58175565693756
2024-01-25,2024-01-25,77.5209194363548
2024-01-26,2024-01-26,77.44452202062426
2024-01-29,2024-01-29,78.99185822111632
2024-01-30,2024-01-30,78.35719078239327
2024-01-31,2024-01-31,76.54898735676204
2024-02-01,2024-02-01,76.28126583026265
2024-02-02,2024-02-02,78.35735056891993
2024-02-05,2024-02-05,78.81862521383292
2024-02-06,2024-02-06,79.6271218287756
2024-02-07,2024-02-07,79.30559379602978
2024-02-08,2024-02-08,78.88894222953593
2024-02-09,2024-02-09,78.93634629441847
2024-02-12,2024-02-12,78.27732007691878
2024-02-13,2024-02-13,78.2402438754291
2024-02-14,2024-02-14,79.85586308539196
2024-02-15,2024-02-15,78.94108312026663
2024-02-16,2024-02-16,77.38103662928323
2024-02-19,2024-02-19,76.70768885800861
2024-02-20,2024-02-20,78.71863787151676
2024-02-21,2024-02-21,79.2798717836963
2024-02-22,2024-02-22,79.97025648944877
2024-02-23,2024-02-23,79.38488827857293
2024-02-26,2024-02-26,78.70418594602106
2024-02-27,2024-02-27,78.93434199031164
2024-02-28,2024-02-28,78.32820135058286
2024-02-29,2024-02-29,78.29342355307908
2024-03-01,2024-03-01,79.767109620389
2024-03-04,2024-03-04,78.93693906219902
2024-03-05,2024-03-05,77.3677693533134
2024-03-06,2024-03-06,76.79233140633916
2024-03-07,2024-03-07,78.80013594171547
2024-03-08,2024-03-08,79.3912631975355
2024-03-11,2024-03-11,80.05118567692367
2024-03-12,2024-03-12,79.32307838733557
2024-03-13,2024-03-13,78.69301049049187
2024-03-14,2024-03-14,78.81783903647364
2024-03-15,2024-03-15,78.06132108942919
2024-03-18,2024-03-18,78.01347035760442
2024-03-19,2024-03-19,79.53914442960739
2024-03-20,2024-03-20,78.75180506943295
2024-03-21,2024-03-21,77.1112184460374
2024-03-22,2024-03-22,76.61033173492935
